discord_id,discord_name,unclaimed_amount,total_claimed,destination_wallet,wallet_resolution,linked_wallet_count
244252969040609280,crazylunatiik,288833,0,B6o9AfiJ5uhw5ewWR3nSTtgLvg1JFNQWoVuR6tQXtZCo,primary,1
290531269970755587,gob.1.,285141,0,AfVXtsmsbmeVDuYSTdEQdiJsYKsi8EKZEdzoTmRb8mQ,primary,1
1082504606690582601,snoopdfox,259865,0,7azqm8HWqiqZPrcgWoBbtNc9HykxpzK5zGTuiJXkpzNZ,primary,1
468983200597934080,johnsey,253423,0,9HM4nYLACGaSFGKwTgMS2yTH3yBrz98PwvSi9q3HiUC4,primary,2
707135836105342996,benno094,155529,0,6ngUm36nabsREufTBRNGuif5pyEffaZqj2ik7NqEJfL5,primary,1
931160720261939230,tom_buxdao,121385,82418,AcWwsEwgcEHz6rzUTXcnSksFZbETtc2JhA4jF7PKjp9T,primary,2
1364736245762228344,josh_hodlin_40532,112909,0,63T32BUbMNTSeemfGKAuL4NB5xfjSeUHRUkHqn92Sjuj,primary,1
831941306241515542,josh_hodlin,109885,0,63T32BUbMNTSeemfGKAuL4NB5xfjSeUHRUkHqn92Sjuj,only,1
723728290002763798,therealmrfunguy,72111,0,DtCsPVrxh7Ws5fXgwUVQQQyVZ27FJAKW4uf6n8QHnwxS,primary,1
945898127817318430,friedaw13,70437,112260,EFwA7nqU4XYi44mspmWacTV5C4ivjnm2Mgd9ExN5hpFM,primary,1
405919089517789205,machineman710,61596,98454,6MDAEysXBp4wyx1kDzA1GBHr2sZLuEZCdH58vkKhhPyR,primary,1
934913406979407952,dannisc1437gmail.com,61491,0,BHCYL69P56TzBBy1r4CxmHs6Sz9Caebgb14oTyQQkRS1,primary,1
1002677465308745758,geneguy2023,56560,320064,3s6c6JzbqgdDpnXrvdfJXhJLq6i9CeMh5JghFe72nBk4,primary,2
976330459317415976,drgreen78paz,55737,0,94Q2QhtrLUxL1txrgSJeXMi8jdkVTQK4EZphfT9LYsmE,primary,1
935330428695486485,itsdowntime,48840,0,Cbo7JZEmVEbkcNzfoE7V3489MKwTehZ37KYJ4Me2cEDv,oldest,2
495693115156594721,sposato,47432,139064,9FdEErSA8N9kkyukLHLsKTyyu6vN3iNq4vpQLN1rdWpc,primary,1
925518218804727910,daniel774263,38556,0,HKN4zACpPLhE6CBQtarSfk2Dn45NVVWTKU2RLrtCLdwA,only,1
890398220600115271,.shoeman,35036,47999,7azqm8HWqiqZPrcgWoBbtNc9HykxpzK5zGTuiJXkpzNZ,primary,2
318021230139539456,samosandthebullyz,34033,33025,DenXVLRxRR3yrXFzwMEpnuizCcP6YMpaN9jUdZy2N8hB,primary,1
894003364717789206,_meowy_,28945,0,EkbZV2UjHLWGKS1FtijH7gUwMyKpxXVBwYHyf8nTrEAX,primary,3
1022179778515705909,mademoisellecynthia,20782,0,B9HVBrcjceo635n7wuaHXkXSpGC9pCXKragyNfdhPPRT,primary,1
777811061109424138,badass.missbunny,19543,0,HH1F12eCYL5mgn9zx7SEY5pj4owMfrLE8JmnvCRdafSJ,primary,2
